model_method,masking_probability,compression_ratio,word_accuracy,character_accuracy,semantic_similarity,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,bert_score_f1,bits_per_character,quantization_bits
bert-base-uncased_predictive_masking,0.1,1.2037587435445378,0.19600212191934205,0.2765352575193592,0.9695207621653874,0.9440501975555842,0.8928520589669978,0.943585426124195,0.9468336778879166,6.815557620890426,
bert-base-uncased_predictive_masking,0.2,1.3218075625861632,0.18079021211504395,0.22938772344562994,0.9210904028018315,0.8789654265499524,0.7752618126700465,0.87707790121932,0.935154978632927,6.230004019987894,
bert-base-uncased_predictive_masking,0.3,1.4560939892058353,0.1616686545642285,0.19986114582714976,0.8761755234003067,0.803203475045635,0.6530048527392068,0.797935867399208,0.9206821997960408,5.661015420038173,
bert-base-uncased_predictive_masking,0.4,1.6265772800548755,0.1412947991745358,0.153225020090385,0.8113983978827793,0.7210039331369114,0.5196071868592198,0.7079580841927083,0.9037328801552454,5.071738092169706,
bert-base-uncased_predictive_masking,0.5,1.826651724988649,0.12246650510588138,0.13591071082040887,0.754538218875726,0.6472707761001731,0.4190939284988247,0.6274684796628981,0.8849858421087266,4.528739620409792,
bert-base-uncased_predictive_masking,0.6,2.1145229604634967,0.10775156609263488,0.10708103371359691,0.6639970702926318,0.5505388696576623,0.29506401143448646,0.5172464369403295,0.860301411151886,3.9287198045824336,
bert-base-uncased_predictive_masking,0.7,2.480211514775253,0.07410187946683651,0.08681402997758585,0.5556700898458561,0.4451903524999146,0.1832167748065656,0.40661942572282755,0.8345144806305568,3.343314398525502,
bert-base-uncased_predictive_masking,0.8,2.992171439360368,0.057318556965707805,0.07159599031641209,0.4160416230668003,0.35752089642775636,0.10810851936463296,0.31500349708353376,0.8025867615143459,2.7823156257614485,
bert-base-uncased_predictive_masking,0.9,3.79419844208817,0.03443181791482374,0.05460682659046832,0.25340480885934086,0.24631926288485392,0.045986186800283296,0.21368490475359062,0.7664836255709332,2.1953903952375327,
bert-base-uncased_lsq,0.1,0.0033051250666462535,0.08606739113056074,0.0937671530122058,0.44857362523674965,0.5268143129835683,0.2665972890351707,0.5232934053452832,0.8570530384778976,2479.764684055383,14.0
bert-base-uncased_lsq,0.2,0.003559331062376665,0.08606739113056074,0.09401039093237387,0.44904129788279534,0.5270010218443278,0.26683038926827096,0.5234801142060427,0.8570582967996597,2302.6618596350013,13.0
bert-base-uncased_lsq,0.3,0.004206378702726018,0.08627572446389406,0.0934079603768183,0.44821427270770076,0.5270640466603232,0.267090174312209,0.5235431390220381,0.8570741617679596,1948.456210794238,11.0
bert-base-uncased_lsq,0.4,0.004626942601450598,0.0866871619189254,0.09272654369302202,0.44908295437693596,0.5269704482420349,0.26680931875188174,0.5234433677642437,0.8569971793889999,1771.3533863738564,10.0
bert-base-uncased_lsq,0.5,0.005140946884167966,0.08612315120825817,0.09085679745406279,0.4497058878839016,0.5264057132536945,0.26613480045160864,0.522882416699977,0.8568082922697067,1594.2505619534745,9.0
bert-base-uncased_lsq,0.6,0.006609419882591968,0.09208130421128745,0.09316930396615726,0.44689661502838135,0.5278961747914475,0.2683903921652926,0.5243800054717009,0.8575568407773971,1240.0449131127111,7.0
bert-base-uncased_lsq,0.7,0.007710667054583798,0.09745285031600266,0.0891024956626885,0.4493941816687584,0.5263206846392084,0.26744706828256876,0.522773962284099,0.8577590757608413,1062.9420886923294,6.0
bert-base-uncased_lsq,0.8,0.011564306232080657,0.09046613766823863,0.09522828991922423,0.4292750300467014,0.5069810887184976,0.24394668104198378,0.5043072372959222,0.850995677113533,708.736439851566,4.0
bert-base-uncased_lsq,0.9,0.015416816660833377,0.059307492938345696,0.070871292959472,0.35672610336914656,0.443610875521412,0.1718323143104418,0.4340005367774329,0.8262681657075882,531.6336154311845,3.0
roberta-base_predictive_masking,0.1,1.1791223554240424,0.9172418318691419,0.5422454094402576,0.9604344058036803,0.9444869175197873,0.8910188120622503,0.9441715066546413,0.988197724421819,6.958449879182662,
roberta-base_predictive_masking,0.2,1.292465819031783,0.7861764644745942,0.346534489137506,0.9163125602404275,0.8830290126203743,0.7848252936348578,0.8818610745210859,0.9742922321955363,6.35106457286884,
roberta-base_predictive_masking,0.3,1.4281398354715986,0.6666179327219194,0.255474063114927,0.8525475033124287,0.8172117304724668,0.6713648017116981,0.811752695730226,0.9557304080327351,5.785506289568235,
roberta-base_predictive_masking,0.4,1.5871017795891877,0.4712529319985701,0.1877003962329333,0.7875742897391319,0.7301933835468263,0.5361640696130235,0.719166407722586,0.9338906443119049,5.206814703464361,
roberta-base_predictive_masking,0.5,1.7923502455027187,0.3637084092160235,0.14280497771333456,0.7197074398398399,0.6473139302609794,0.4200542526279722,0.6310044568285376,0.9116809312502543,4.629257701417033,
roberta-base_predictive_masking,0.6,2.073350865955909,0.23835410727992282,0.11944901420295397,0.6360361211995283,0.5522004230455638,0.29833679111629197,0.521768473401751,0.8816979185740154,3.996132023676713,
roberta-base_predictive_masking,0.7,2.4253624408327723,0.16426413542745433,0.09822614139154633,0.5147511502479514,0.45033124445280864,0.1920080346841274,0.41446898513639296,0.8489854778846105,3.4210127818598917,
roberta-base_predictive_masking,0.8,2.933312230219068,0.11065573771617727,0.08474762583242108,0.36141299168424057,0.34506507792221147,0.10353231197696944,0.30686545625013933,0.8151002351442974,2.8376648560779043,
roberta-base_predictive_masking,0.9,3.704926663336321,0.0696433614562695,0.07271317129391286,0.205693540526554,0.23379820291202016,0.041841128910381935,0.20208496919510363,0.7755378262201944,2.2478848941678753,
roberta-base_lsq,0.1,0.0032402110464150465,0.34826679506571423,0.09782140650136789,0.4233500252664089,0.5587495925240011,0.3153945237881734,0.5568247530312557,0.8805519318580628,2528.6524692165417,14.0
roberta-base_lsq,0.2,0.003489425108347979,0.3481604120869908,0.09826356964371527,0.422642073482275,0.5587495925240011,0.3153945237881734,0.5568247530312557,0.8805124920606613,2348.057660141791,13.0
roberta-base_lsq,0.3,0.004123766944046547,0.34790549122878345,0.09561780083753209,0.42472930774092676,0.5586576377874816,0.31511920627557105,0.5567327982947361,0.8805697399377823,1986.8680419922907,11.0
roberta-base_lsq,0.4,0.0045360727903334935,0.34781579577613436,0.09834116298024316,0.42695115178823473,0.5588227578225203,0.3152093908922496,0.5568979183297749,0.8807741987705231,1806.2732329175406,10.0
roberta-base_lsq,0.5,0.005039984668747988,0.34578926165095525,0.09618297680412105,0.4240140884369612,0.5585184980783041,0.3144960762446922,0.5563339183258182,0.8804443955421448,1625.6784238427904,9.0
roberta-base_lsq,0.6,0.006479626897994071,0.3172940061337681,0.10002885383797683,0.41611544534564016,0.5535674763124682,0.30895111007838616,0.5514241957206252,0.8787163311243057,1264.4888056932903,7.0
roberta-base_lsq,0.7,0.007559255533895148,0.32432970566772995,0.09853814026106975,0.4159389364719391,0.5503148690597215,0.30348506469638,0.5493141288424807,0.8756166219711303,1083.8939966185403,6.0
roberta-base_lsq,0.8,0.011337260469606224,0.10725077845836402,0.06993487307336814,0.1866093573346734,0.3183365018218362,0.11828165711642122,0.31309815551404996,0.8090164679288864,722.70437846904,4.0
roberta-base_lsq,0.9,0.015114184276576719,0.004066964021238602,0.04915988900583228,0.04761965866200626,0.02481350817189148,0.0016649205517723065,0.0239216806061462,0.7462939405441285,542.1095693942898,3.0
distilbert-base-uncased_predictive_masking,0.1,1.2037587435445378,0.19348362214258685,0.2839068090684021,0.9661317183574041,0.9392202720863883,0.8839649330163754,0.9388388516267799,0.9454456013441085,6.815557620890426,
distilbert-base-uncased_predictive_masking,0.2,1.3218075625861632,0.16870741189187424,0.2192602911835376,0.9171131685376168,0.8679613808527815,0.7543288050350924,0.865429332208194,0.9319201376040777,6.230004019987894,
distilbert-base-uncased_predictive_masking,0.3,1.4560939892058353,0.15941922890166435,0.19170430162749438,0.8706235234936078,0.7931697868921471,0.6300070134952166,0.7858182437532976,0.9169383736451467,5.661015420038173,
distilbert-base-uncased_predictive_masking,0.4,1.6265772800548755,0.1463893326479004,0.15000802906864938,0.8094391505916914,0.7110773485447983,0.4978249386349551,0.6956050674855535,0.9001290160417557,5.071738092169706,
distilbert-base-uncased_predictive_masking,0.5,1.826651724988649,0.12087829808496768,0.136638751935542,0.7503115224838256,0.6408684387330509,0.3987519803973925,0.6180845669245555,0.8808290235201518,4.528739620409792,
distilbert-base-uncased_predictive_masking,0.6,2.1145229604634967,0.10387006037639486,0.10400392110809835,0.6601983328660329,0.5513253887709156,0.28312141466701246,0.5161010075715429,0.8570948058366775,3.9287198045824336,
distilbert-base-uncased_predictive_masking,0.7,2.480211514775253,0.059470885028863905,0.08429985909562342,0.5560411734879017,0.4526783614966325,0.1776472404302966,0.4085242511366028,0.8330094369252522,3.343314398525502,
distilbert-base-uncased_predictive_masking,0.8,2.992171439360368,0.039117407918707436,0.0612531975619677,0.4348672312311828,0.3584125785242498,0.10173872634994328,0.31038142772498317,0.8084055197238923,2.7823156257614485,
distilbert-base-uncased_predictive_masking,0.9,3.79419844208817,0.008955951064230512,0.02523794491271864,0.2879252093719939,0.22390627683081574,0.042963488180378984,0.18951986520081573,0.7808397563298545,2.1953903952375327,
distilbert-base-uncased_lsq,0.1,0.0033051250666462535,0.09916464520865789,0.09317794789229766,0.4500137047469616,0.5426731630584642,0.2770465453558559,0.5397915903768308,0.860773246884346,2479.764684055383,14.0
distilbert-base-uncased_lsq,0.2,0.003559331062376665,0.09916464520865789,0.09294357289229767,0.4500355066359043,0.5426731630584642,0.2770465453558559,0.5397915903768308,0.8609205597639084,2302.6618596350013,13.0
distilbert-base-uncased_lsq,0.3,0.004206378702726018,0.09935695290096559,0.09317662124135427,0.44913789466023446,0.5423751589744118,0.2767705183868297,0.5394935862927782,0.8608591395616532,1948.456210794238,11.0
distilbert-base-uncased_lsq,0.4,0.004626942601450598,0.09941717046118315,0.09261343312680761,0.45038632102310655,0.5424906990137297,0.2770820349901462,0.5396123720315443,0.8610838925838471,1771.3533863738564,10.0
distilbert-base-uncased_lsq,0.5,0.005140946884167966,0.09724976176223114,0.08965850166561222,0.44992504924535753,0.5429660424199475,0.2766482240287672,0.5396499712962495,0.860916520357132,1594.2505619534745,9.0
distilbert-base-uncased_lsq,0.6,0.006609419882591968,0.09926565015198775,0.09384268454141682,0.451761890873313,0.5415358633881734,0.2769417262840668,0.5381962743329741,0.8604849666357041,1240.0449131127111,7.0
distilbert-base-uncased_lsq,0.7,0.007710667054583798,0.09791685436152442,0.09723678523691622,0.45044243432581427,0.5409724679679514,0.2772811215119808,0.5376567140661082,0.8604256856441498,1062.9420886923294,6.0
distilbert-base-uncased_lsq,0.8,0.011564306232080657,0.0967552804789607,0.08538321436399629,0.42259023904800413,0.51767779934602,0.24928885119628358,0.5125179889128099,0.8514173394441604,708.736439851566,4.0
distilbert-base-uncased_lsq,0.9,0.015416816660833377,0.08359457811159161,0.07989724171807727,0.33630974888801574,0.44686908197567143,0.18510675756634093,0.43986653933355685,0.8338516449928284,531.6336154311845,3.0
